agreement,cover_rows,rows_without_eia_flag,is_eia
turchl,26,26,False
turmkd,48,48,False
turgeo,32,32,False
turjor,26,26,False
turkor,22,22,False
turmar,36,36,False
turmne,28,28,False
turpse,38,38,False
tursrb,28,28,False
tursyr,34,34,False
turtun,38,38,False
turmus,22,22,False
ukraze,56,14,False
ukrblr,36,36,False
ukrmkd,46,46,False
ukrkaz,52,52,False
ukrmda,38,0,True
ukrrus,60,60,False
ukrtjk,44,44,False
ukruzb,56,56,False
ukrtkm,58,58,False
usaisr,78,78,False
chlmys,24,24,False
eftabih,72,72,False
cacm,1348,902,False
can,584,556,False
caricomg,4346,4346,False
caricomcueia,4620,0,True
cemac,750,750,False
comesa,11382,11214,False
eac,102,102,False
eaccueia,360,0,True
eaec,440,440,False
ecowas,11010,11010,False
euand,1484,1484,False
eusmr,1178,1178,False
eutur,1358,1358,False
gcc2,630,630,False
mercosurg,180,168,False
mercosurs,268,0,True
waemu,1638,1638,False
aftagchn,40,40,False
aftaschn,80,0,True
aseanchn,270,0,True
apta,850,826,False
aptacueia,330,0,True
chlind,34,34,False
eco,2922,2904,False
gstp,59100,56906,False
indafg,42,42,False
indnpl,30,30,False
laia,5568,4974,False
argmex,74,74,False
bramex,42,42,False
ecumex,82,82,False
laotha,66,14,False
mercosurind,130,130,False
msg,336,332,False
ptn,12818,12440,False
sapta,1218,1152,False
sparteca,9338,9038,False
slvcub,24,24,False
eea,21634,0,True
aseanausnzl,1766,0,True
auschl,30,0,True
brnjpn,32,0,True
caftadr,710,0,True
canchl,54,0,True
cancol,26,0,True
canpan,22,0,True
canper,30,0,True
chlcol,30,0,True
chlcri,44,0,True
chlgtm,28,0,True
chlhnd,32,0,True
chlhkg,20,0,True
chlnic,24,0,True
chlslv,44,0,True
chljpn,34,0,True
chlmex,50,0,True
criper,22,0,True
crisgp,22,0,True
chnche,20,0,True
chncri,26,0,True
chnhkg,42,0,True
chnisl,20,0,True
chnmac,42,0,True
chnnzl,32,0,True
chnsgp,30,0,True
colmex,58,0,True
coltri,170,0,True
domcentr,226,0,True
domtri,86,0,True
eucariforum,12768,0,True
eftachl,160,0,True
eftacol,104,0,True
eftahkg,96,0,True
eftakor,144,0,True
eftamex,184,0,True
eftasgp,168,0,True
eucentr,3792,0,True
eucolper,1664,0,True
eugeo,574,0,True
eumda,574,0,True
eukor,744,0,True
gtmtwn,36,0,True
hkgnzl,26,0,True
hndslvtwn,96,0,True
indjpn,26,0,True
indmys,26,0,True
indsgp,38,0,True
islfro,36,0,True
jorsgp,38,0,True
jpnche,30,0,True
jpnidn,32,0,True
jpnmex,38,0,True
jpnmys,36,0,True
jpnphl,32,0,True
jpnsgp,44,0,True
jpntha,34,0,True
jpnvnm,30,0,True
jpnper,24,0,True
korchl,40,0,True
korind,28,0,True
korsgp,36,0,True
mexury,40,0,True
mexcentr,114,0,True
mysaus,22,0,True
nictwn,32,0,True
nzlsgp,46,0,True
nzlmys,28,0,True
nzltwn,22,0,True
pakmys,32,0,True
panchl,32,0,True
pancri,32,0,True
pangtm,30,0,True
panhnd,30,0,True
pannic,30,0,True
panper,24,0,True
pansgp,36,0,True
panslv,42,0,True
pantwn,40,0,True
perchl,30,0,True
perchn,28,0,True
perkor,26,0,True
permex,24,0,True
persgp,30,0,True
sgpaus,42,0,True
sgptwn,20,0,True
thaaus,38,0,True
thanzl,38,0,True
tpsep,216,0,True
usaaus,38,0,True
usabhr,36,0,True
usachl,40,0,True
usacol,24,0,True
usakor,24,0,True
usajor,46,0,True
usaomn,30,0,True
usaper,30,0,True
usapan,24,0,True
usamar,36,0,True
usasgp,40,40,False
ukrmne,22,0,True
canhnd,20,0,True
koraus,20,0,True
cankor,18,0,True
eaeu,180,0,True
jpnaus,18,0,True
nafta,162,0,True
tripartite2,138,138,False
afcm,720,720,False
arcm,1104,1104,False
eccyp,778,730,False
ecgrc2,276,276,False
ecmlt,802,754,False
ecoct,672,672,False
ectur3,472,472,False
ecyug,262,262,False
gcc1,630,630,False
rusblrkaz,162,108,False
zafzwe,10,10,False
ecbgr,420,0,True
eccze,318,0,True
ecest,318,0,True
echun,342,0,True
eclva,318,0,True
ecltu,318,0,True
ecpol,342,0,True
ecrou,840,0,True
ecsvk,318,0,True
euhrvg,110,110,False
euhrvs,492,0,True
gtmmex,26,0,True
hndmex,26,0,True
mexslv,24,0,True
mexnic,30,0,True
ecsvn2,198,0,True
albbih2,8,8,False
albbgr,8,8,False
albmkd2,12,12,False
albmda2,8,8,False
albrom,18,18,False
albscg,48,48,False
albyug,8,8,False
arusha,432,252,False
ausnzl,34,34,False
bafta,66,60,False
bgrbih,6,6,False
bgrest,6,4,False
bgrmkd,14,14,False
bgrisr,10,10,False
bgrlva,4,2,False
bgrltu,6,4,False
bgrscg,36,36,False
bgrsvk,6,6,False
bgrsvn,4,4,False
bgrtur,16,16,False
cusfta,10,10,False
carifta,660,660,False
cafta,60,60,False
hrvalb2,10,10,False
crimex,38,0,True
hrvbih2,14,14,False
hrvmkd2,22,22,False
hrvscg,48,48,False
czebgr,6,6,False
czeest,14,12,False
czeisr,16,16,False
czelva,16,14,False
czeltu,16,14,False
czerom,18,18,False
czesvk,24,22,False
czesvn,4,4,False
czetur,14,14,False
ecdza1,54,54,False
ecdza2,776,776,False
ecaut,472,448,False
ecbgr2,54,24,False
ecczesvk,252,192,False
ecegy,72,72,False
ecegy2,690,690,False
ecegy3,36,36,False
ecfro,132,132,False
ecfin,418,418,False
ecgrc,108,108,False
echun2,72,48,False
ecisr,90,90,False
ecisr2,604,604,False
ecjor,610,610,False
ecjor2,36,36,False
eclbn,72,72,False
eclbn2,640,640,False
eclbn3,36,36,False
ecmar,120,120,False
ecmar2,550,550,False
ecmar3,54,54,False
ecpol2,72,48,False
ecprt,54,54,False
ecprt2,190,190,False
ecrou2,156,96,False
ecsvn,108,108,False
ecsvn3,258,60,False
ecesp,280,280,False
ecswe,460,436,False
ecsyr,36,36,False
ectun,120,120,False
ectun2,490,490,False
ectun3,54,54,False
ectur,490,490,False
ectur2,108,108,False
eftabgr,124,124,False
eftacze,150,144,False
eftaest,72,66,False
eftahun,108,102,False
eftahrvg,96,90,False
eftalva,72,66,False
eftaltu,72,66,False
eftamkd,176,176,False
eftapol,108,102,False
eftarou,248,248,False
eftasvk,150,144,False
eftasvn,80,74,False
eftaesp,72,72,False
eqcmr,60,60,False
slvnic,18,18,False
estfro,14,14,False
estlvaltu,66,60,False
estnor,10,10,False
estswe,6,6,False
estche,8,8,False
estukr,18,18,False
froisl,28,26,False
finbgr,38,38,False
fincze,36,36,False
findeu,30,30,False
finest,6,6,False
finhun,38,38,False
finlva,4,4,False
finltu,4,4,False
finpol,32,32,False
finefta,340,340,False
ghabfa,10,10,False
mkdbih2,12,12,False
hunest,8,6,False
hunisr,14,14,False
hunlva,10,8,False
hunltu,10,8,False
hunsvn,2,2,False
huntur,14,14,False
iregbr,0,0,False
lafta,798,798,False
lvanor,10,10,False
lvaswe,6,6,False
lvache,8,8,False
ltunor,10,10,False
ltuswe,6,6,False
ltuche,8,8,False
mdabih2,8,8,False
mdabgr,6,6,False
mdahrv2,8,8,False
mdamkd2,8,8,False
mdascg,48,48,False
polfro,14,14,False
polisr,14,14,False
pollva,12,10,False
polltu,14,12,False
rombih,24,24,False
rommkd,18,18,False
romisr,36,36,False
rommda,72,72,False
romscg,60,60,False
romtur,54,54,False
svkest,14,12,False
svkisr,16,16,False
svklva,16,14,False
svkltu,16,14,False
svkrou,18,18,False
svksvn,4,4,False
svktur,14,14,False
svnbih,6,6,False
svnhrv,14,14,False
svnest,16,14,False
svnmkd,18,16,False
svnisr,14,14,False
svnlva,18,16,False
svnltu,16,14,False
turest,14,14,False
turhrv,22,22,False
turlva,10,10,False
turltu,14,14,False
turpol,10,10,False
tursvn,10,10,False
eftaphl,48,0,True
chngeo,12,0,True
perhnd,14,0,True
tursgp,14,0,True
slvecu,14,14,False
mercosuregy,56,56,False
hkgmac,14,0,True
eucan,400,0,True
canukr,14,14,False
chltha,18,0,True
eftageo,56,0,True
mercosursacu,330,330,False
indtha,40,22,False
argbra,16,0,True
mercosurmex,66,50,False
mercosurchl,56,56,False
eaeuvnm,80,0,True
eusadc,2748,2748,False
eugha,458,458,False
turmda,16,16,False
cricol,16,0,True
korcol,16,0,True
mexpan,18,0,True
jpnmng,16,0,True
pandom,74,74,False
korvnm,18,0,True
chnkor,18,0,True
auschn,18,0,True
kornzl,18,0,True
muspak,34,34,False
gcc2sgp,132,0,True
chlvnm,20,20,False
pa,96,0,True
guam,252,0,True
aa,204,204,False
euukr,574,0,True
eftacripan,160,0,True
euciv,458,458,False
eubihg,396,396,False
eubihs,516,0,True
aseanindg,100,78,False
aseaninds,180,0,True
idnpak,22,22,False
mexbol,28,28,False
mexcub,46,46,False
mexpry,80,80,False
euarm,342,0,True
cptpp,252,0,True
eujpn,284,0,True
eusgp,284,0,True
hkggeo,10,0,True
chlidn,10,10,False
eaeuirn,50,50,False
marare,42,42,False
mercosurisr,130,130,False
turmys,18,18,False
irlgbr,16,14,False
hkgaus,8,0,True
peraus,8,0,True
idnaus,8,0,True
euvnm,226,0,True
gbrcan,6,0,True
gbrvnm,6,0,True
gbrsgp,6,0,True
gbrmkd,6,0,True
gbrmda,6,0,True
gbrukr,6,0,True
gbrkor,6,0,True
gbrgeo,6,0,True
gbrchl,6,0,True
gbrjpn,6,0,True
gbralb,6,0,True
gbrsrb,6,0,True
gbrmex,6,0,True
gbrken,6,6,False
gbrtur,6,6,False
gbregy,6,6,False
gbrcmr,6,6,False
gbrpse,6,6,False
gbrmar,6,6,False
gbrlbn,6,6,False
gbryug,6,6,False
gbrtun,6,6,False
gbrisr,6,6,False
gbrfro,6,6,False
gbrciv,6,6,False
gbrgha,6,6,False
gbrjor,6,6,False
ukrisr,6,6,False
namzwe,62,62,False
turyug,10,10,False
turfro,14,14,False
chnmus,6,0,True
indmus,6,0,True
indare,4,0,True
eftaecu,32,0,True
eftaidn,24,0,True
eftatur,24,0,True
eftagcc2,1008,528,False
eaeusrb,30,30,False
gbrcentr,126,0,True
aseanjpn,80,24,False
aseanhkg,462,0,True
gbrlieche,162,64,False
gbrpacific,60,54,False
gbresas,36,36,False
gbrcep,36,0,True
gbrnil,36,0,True
gbrsacum,126,126,False
usmcae,24,0,True
pacerplus,236,0,True
cariforumgbr,84,0,True
turven,8,8,False
chnkhm,4,0,True
chnnic,0,0,False
kgzaze,36,36,False
turbih,6,0,True
mozidn,4,4,False
indaus,4,0,True
gbraus,2,0,True
gbrnzl,2,0,True
korkhm,4,0,True
idnkor,2,0,True
colisr,8,0,True
eugbr,168,0,True
kazaze,50,50,False
kazuzb,52,52,False
kazsrb,24,24,False
eunzl,0,0,False
korisr,4,0,True
atisa,270,0,True
