ISO3,year,agreement
AIA,1988,euoct
AIA,1989,euoct
AIA,1990,euoct
AIA,1991,euoct
AIA,1992,euoct
AIA,1993,euoct
AIA,1994,euoct
AIA,1995,euoct
AIA,1996,euoct
AIA,1997,euoct
AIA,1998,euoct
AIA,1999,euoct
AIA,2000,euoct
AIA,2001,euoct
AIA,2002,euoct
AIA,2003,euoct
AIA,2004,euoct
AIA,2005,euoct
AIA,2006,euoct
AIA,2007,euoct
AIA,2008,euoct
AIA,2009,euoct
AIA,2010,euoct
AIA,2011,euoct
AIA,2012,euoct
AIA,2013,euoct
AIA,2014,euoct
AIA,2015,euoct
AIA,2016,euoct
AIA,2017,euoct
AIA,2018,euoct
AIA,2019,euoct
AIA,2020,euoct
AIA,2021,euoct
AIA,2022,euoct
AIA,2023,euoct
ALB,2002,albmkd2
ALB,2003,albbgr
ALB,2003,albmkd2
ALB,2003,hrvalb2
ALB,2004,albbih2
ALB,2004,albbgr
ALB,2004,albmkd2
ALB,2004,albmda2
ALB,2004,albrom
ALB,2004,albscg
ALB,2004,albyug
ALB,2004,hrvalb2
ALB,2005,albbih2
ALB,2005,albbgr
ALB,2005,albmkd2
ALB,2005,albmda2
ALB,2005,albrom
ALB,2005,albscg
ALB,2005,albyug
ALB,2005,hrvalb2
ALB,2006,eualbg
ALB,2006,albbih2
ALB,2006,albbgr
ALB,2006,albmkd2
ALB,2006,albmda2
ALB,2006,albrom
ALB,2006,albscg
ALB,2006,albyug
ALB,2006,hrvalb2
ALB,2007,cefta
ALB,2007,eualbg
ALB,2007,albbih2
ALB,2007,albmkd2
ALB,2007,albmda2
ALB,2007,albscg
ALB,2007,albyug
ALB,2007,hrvalb2
ALB,2008,cefta
ALB,2008,eualbg
ALB,2008,turalb
ALB,2009,cefta
ALB,2009,eualbs
ALB,2009,turalb
ALB,2010,cefta
ALB,2010,eualbs
ALB,2010,eftaalb
ALB,2010,turalb
ALB,2011,cefta
ALB,2011,eualbs
ALB,2011,eftaalb
ALB,2011,turalb
ALB,2012,cefta
ALB,2012,eualbs
ALB,2012,eftaalb
ALB,2012,turalb
ALB,2013,cefta
ALB,2013,eualbs
ALB,2013,eftaalb
ALB,2013,turalb
ALB,2014,cefta
ALB,2014,eualbs
ALB,2014,eftaalb
ALB,2014,turalb
ALB,2015,cefta
ALB,2015,eualbs
ALB,2015,eftaalb
ALB,2015,turalb
ALB,2016,cefta
ALB,2016,eualbs
ALB,2016,eftaalb
ALB,2016,turalb
ALB,2017,cefta
ALB,2017,eualbs
ALB,2017,eftaalb
ALB,2017,turalb
ALB,2018,cefta
ALB,2018,eualbs
ALB,2018,eftaalb
ALB,2018,turalb
ALB,2019,cefta
ALB,2019,eualbs
ALB,2019,eftaalb
ALB,2019,turalb
ALB,2020,cefta
ALB,2020,eualbs
ALB,2020,eftaalb
ALB,2020,turalb
ALB,2021,cefta
ALB,2021,eualbs
ALB,2021,eftaalb
ALB,2021,turalb
ALB,2021,gbralb
ALB,2022,cefta
ALB,2022,eualbs
ALB,2022,eftaalb
ALB,2022,turalb
ALB,2022,gbralb
ALB,2023,cefta
ALB,2023,eualbs
ALB,2023,eftaalb
ALB,2023,turalb
ALB,2023,gbralb
AND,1991,euand
AND,1992,euand
AND,1993,euand
AND,1994,euand
AND,1995,euand
AND,1996,euand
AND,1997,euand
AND,1998,euand
AND,1999,euand
AND,2000,euand
AND,2001,euand
AND,2002,euand
AND,2003,euand
AND,2004,euand
AND,2005,euand
AND,2006,euand
AND,2007,euand
AND,2008,euand
AND,2009,euand
AND,2010,euand
AND,2011,euand
AND,2012,euand
AND,2013,euand
AND,2014,euand
AND,2015,euand
AND,2016,euand
AND,2017,euand
AND,2018,euand
AND,2019,euand
AND,2020,euand
AND,2021,euand
AND,2022,euand
AND,2023,euand
ANT,1958,euoct
ANT,1959,euoct
ANT,1960,euoct
ANT,1961,euoct
ANT,1962,euoct
ANT,1963,euoct
ANT,1964,euoct
ANT,1964,ecoct
ANT,1965,euoct
ANT,1965,ecoct
ANT,1966,euoct
ANT,1966,ecoct
ANT,1967,euoct
ANT,1967,ecoct
ANT,1968,euoct
ANT,1968,ecoct
ANT,1969,euoct
ANT,1969,ecoct
ANT,1970,euoct
ANT,1970,ecoct
ANT,1971,euoct
ANT,1972,euoct
ANT,1973,euoct
ANT,1974,euoct
ANT,1975,euoct
ANT,1976,euoct
ANT,1977,euoct
ANT,1978,euoct
ANT,1979,euoct
ANT,1980,euoct
ANT,1981,euoct
ANT,1982,euoct
ANT,1983,euoct
ANT,1984,euoct
ANT,1985,euoct
ANT,1986,euoct
ANT,1987,euoct
ANT,1988,euoct
ANT,1989,euoct
ANT,1990,euoct
ANT,1991,euoct
ANT,1992,euoct
ANT,1993,euoct
ANT,1994,euoct
ANT,1995,euoct
ANT,1996,euoct
ANT,1997,euoct
ANT,1998,euoct
ANT,1999,euoct
ANT,2000,euoct
ANT,2001,euoct
ANT,2002,euoct
ANT,2003,euoct
ANT,2004,euoct
ANT,2005,euoct
ANT,2006,euoct
ANT,2007,euoct
ANT,2008,euoct
ANT,2009,euoct
ANT,2010,euoct
ARE,1982,gcc1
ARE,1983,gcc1
ARE,1984,gcc1
ARE,1985,gcc1
ARE,1986,gcc1
ARE,1987,gcc1
ARE,1988,gcc1
ARE,1989,gcc1
ARE,1990,gcc1
ARE,1991,gcc1
ARE,1992,gcc1
ARE,1993,gcc1
ARE,1994,gcc1
ARE,1995,gcc1
ARE,1996,gcc1
ARE,1997,gcc1
ARE,1998,pafta
ARE,1998,gcc1
ARE,1999,pafta
ARE,1999,gcc1
ARE,2000,pafta
ARE,2000,gcc1
ARE,2001,pafta
ARE,2001,gcc1
ARE,2002,pafta
ARE,2002,gcc1
ARE,2003,pafta
ARE,2003,gcc2
ARE,2003,marare
ARE,2003,eftagcc2
ARE,2004,pafta
ARE,2004,gcc2
ARE,2004,marare
ARE,2004,eftagcc2
ARE,2005,pafta
ARE,2005,gcc2
ARE,2005,marare
ARE,2005,eftagcc2
ARE,2006,pafta
ARE,2006,gcc2
ARE,2006,marare
ARE,2006,eftagcc2
ARE,2007,pafta
ARE,2007,gcc2
ARE,2007,marare
ARE,2007,eftagcc2
ARE,2008,pafta
ARE,2008,gcc2
ARE,2008,marare
ARE,2008,eftagcc2
ARE,2009,pafta
ARE,2009,gcc2
ARE,2009,marare
ARE,2009,eftagcc2
ARE,2010,pafta
ARE,2010,gcc2
ARE,2010,marare
ARE,2010,eftagcc2
ARE,2011,pafta
ARE,2011,gcc2
ARE,2011,marare
ARE,2011,eftagcc2
ARE,2012,pafta
ARE,2012,gcc2
ARE,2012,marare
ARE,2012,eftagcc2
ARE,2013,pafta
ARE,2013,gcc2
ARE,2013,marare
ARE,2013,eftagcc2
ARE,2014,pafta
ARE,2014,gcc2
ARE,2014,marare
ARE,2014,eftagcc2
ARE,2015,pafta
ARE,2015,gcc2
ARE,2015,marare
ARE,2015,eftagcc2
ARE,2016,pafta
ARE,2016,gcc2
ARE,2016,marare
ARE,2016,eftagcc2
ARE,2017,pafta
ARE,2017,gcc2
ARE,2017,marare
ARE,2017,eftagcc2
ARE,2018,pafta
ARE,2018,gcc2
ARE,2018,marare
ARE,2018,eftagcc2
ARE,2019,pafta
ARE,2019,gcc2
ARE,2019,marare
ARE,2019,eftagcc2
ARE,2020,pafta
ARE,2020,gcc2
ARE,2020,marare
ARE,2020,eftagcc2
ARE,2021,pafta
ARE,2021,gcc2
ARE,2021,marare
ARE,2021,eftagcc2
ARE,2022,pafta
ARE,2022,gcc2
ARE,2022,marare
ARE,2022,indare
ARE,2022,eftagcc2
ARE,2023,pafta
ARE,2023,gcc2
ARE,2023,marare
ARE,2023,indare
ARE,2023,eftagcc2
ARE,2013,gcc2sgp
ARE,2014,gcc2sgp
ARE,2015,gcc2sgp
ARE,2016,gcc2sgp
ARE,2017,gcc2sgp
ARE,2018,gcc2sgp
ARE,2019,gcc2sgp
ARE,2020,gcc2sgp
ARE,2021,gcc2sgp
ARE,2022,gcc2sgp
ARE,2023,gcc2sgp
ARG,1961,lafta
ARG,1962,lafta
ARG,1963,lafta
ARG,1964,lafta
ARG,1965,lafta
ARG,1966,lafta
ARG,1967,lafta
ARG,1968,lafta
ARG,1969,lafta
ARG,1970,lafta
ARG,1971,lafta
ARG,1972,lafta
ARG,1973,lafta
ARG,1974,lafta
ARG,1975,lafta
ARG,1976,lafta
ARG,1977,lafta
ARG,1978,lafta
ARG,1979,lafta
ARG,1981,laia
ARG,1982,laia
ARG,1983,laia
ARG,1984,laia
ARG,1985,laia
ARG,1986,laia
ARG,1987,laia
ARG,1987,argmex
ARG,1988,laia
ARG,1988,argmex
ARG,1989,laia
ARG,1989,argmex
ARG,1990,gstp
ARG,1990,laia
ARG,1990,argmex
ARG,1991,mercosurg
ARG,1991,gstp
ARG,1991,laia
ARG,1991,argmex
ARG,1992,mercosurg
ARG,1992,gstp
ARG,1992,laia
ARG,1992,argmex
ARG,1993,mercosurg
ARG,1993,gstp
ARG,1993,laia
ARG,1993,argmex
ARG,1994,mercosurg
ARG,1994,gstp
ARG,1994,laia
ARG,1994,argmex
ARG,1995,mercosurg
ARG,1995,gstp
ARG,1995,laia
ARG,1995,argmex
ARG,1996,mercosurg
ARG,1996,gstp
ARG,1996,laia
ARG,1996,argmex
ARG,1997,mercosurg
ARG,1997,gstp
ARG,1997,laia
ARG,1997,argmex
ARG,1998,mercosurg
ARG,1998,gstp
ARG,1998,laia
ARG,1998,argmex
ARG,1999,mercosurg
ARG,1999,gstp
ARG,1999,laia
ARG,1999,argmex
ARG,2000,mercosurg
ARG,2000,gstp
ARG,2000,laia
ARG,2000,argmex
ARG,2001,mercosurg
ARG,2001,gstp
ARG,2001,laia
ARG,2001,argmex
ARG,2002,mercosurg
ARG,2002,gstp
ARG,2002,laia
ARG,2002,argmex
ARG,2003,mercosurg
ARG,2003,gstp
ARG,2003,laia
ARG,2003,argmex
ARG,2004,mercosurg
ARG,2004,gstp
ARG,2004,laia
ARG,2004,argmex
ARG,2005,mercosurg
ARG,2005,mercosurs
ARG,2005,gstp
ARG,2005,laia
ARG,2005,argmex
ARG,2006,mercosurs
ARG,2006,gstp
ARG,2006,laia
ARG,2006,argmex
ARG,2007,mercosurs
ARG,2007,gstp
ARG,2007,laia
ARG,2007,argmex
ARG,2008,mercosurs
ARG,2008,gstp
ARG,2008,laia
ARG,2008,argmex
ARG,2009,mercosurs
ARG,2009,gstp
ARG,2009,laia
ARG,2009,argmex
ARG,2009,mercosurind
ARG,2009,mercosurisr
ARG,2010,mercosurs
ARG,2010,gstp
ARG,2010,laia
ARG,2010,argmex
ARG,2010,mercosurind
ARG,2010,mercosurisr
ARG,2011,mercosurs
ARG,2011,gstp
ARG,2011,laia
ARG,2011,argmex
ARG,2011,mercosurind
ARG,2011,mercosurisr
ARG,2012,mercosurs
ARG,2012,gstp
ARG,2012,laia
ARG,2012,argmex
ARG,2012,mercosurind
ARG,2012,mercosurisr
ARG,2013,mercosurs
ARG,2013,gstp
ARG,2013,laia
ARG,2013,argmex
ARG,2013,mercosurind
ARG,2013,mercosurisr
ARG,2014,mercosurs
ARG,2014,gstp
ARG,2014,laia
ARG,2014,argmex
ARG,2014,mercosurind
ARG,2014,mercosurisr
ARG,2015,mercosurs
ARG,2015,gstp
ARG,2015,laia
ARG,2015,argmex
ARG,2015,mercosurind
ARG,2015,mercosurisr
ARG,2016,mercosurs
ARG,2016,gstp
ARG,2016,laia
ARG,2016,argmex
ARG,2016,mercosurind
ARG,2016,mercosursacu
ARG,2016,argbra
ARG,2016,mercosurmex
ARG,2016,mercosurisr
ARG,2017,mercosurs
ARG,2017,gstp
ARG,2017,laia
ARG,2017,argmex
ARG,2017,mercosurind
ARG,2017,mercosuregy
ARG,2017,mercosursacu
ARG,2017,argbra
ARG,2017,mercosurmex
ARG,2017,mercosurchl
ARG,2017,mercosurisr
ARG,2018,mercosurs
ARG,2018,gstp
ARG,2018,laia
ARG,2018,argmex
ARG,2018,mercosurind
ARG,2018,mercosuregy
ARG,2018,mercosursacu
ARG,2018,argbra
ARG,2018,mercosurmex
ARG,2018,mercosurchl
ARG,2018,mercosurisr
ARG,2019,mercosurs
ARG,2019,gstp
ARG,2019,laia
ARG,2019,argmex
ARG,2019,mercosurind
ARG,2019,mercosuregy
ARG,2019,mercosursacu
ARG,2019,argbra
ARG,2019,mercosurmex
ARG,2019,mercosurchl
ARG,2019,mercosurisr
ARG,2020,mercosurs
ARG,2020,gstp
ARG,2020,laia
ARG,2020,argmex
ARG,2020,mercosurind
ARG,2020,mercosuregy
ARG,2020,mercosursacu
ARG,2020,argbra
ARG,2020,mercosurmex
ARG,2020,mercosurchl
ARG,2020,mercosurisr
ARG,2021,mercosurs
ARG,2021,gstp
ARG,2021,laia
ARG,2021,argmex
ARG,2021,mercosurind
ARG,2021,mercosuregy
ARG,2021,mercosursacu
ARG,2021,argbra
ARG,2021,mercosurmex
ARG,2021,mercosurchl
ARG,2021,mercosurisr
ARG,2022,mercosurs
ARG,2022,gstp
ARG,2022,laia
ARG,2022,argmex
ARG,2022,mercosurind
ARG,2022,mercosuregy
ARG,2022,mercosursacu
ARG,2022,argbra
ARG,2022,mercosurmex
ARG,2022,mercosurchl
ARG,2022,mercosurisr
ARG,2023,mercosurs
ARG,2023,gstp
ARG,2023,laia
ARG,2023,argmex
ARG,2023,mercosurind
ARG,2023,mercosuregy
ARG,2023,mercosursacu
ARG,2023,argbra
ARG,2023,mercosurmex
ARG,2023,mercosurchl
ARG,2023,mercosurisr
ARM,1993,armrus
ARM,1994,armrus
ARM,1995,armkgz
ARM,1995,armmda
ARM,1995,armrus
ARM,1996,armkgz
ARM,1996,armmda
ARM,1996,armrus
ARM,1996,armtkm
ARM,1996,armukr
ARM,1997,armkgz
ARM,1997,armmda
ARM,1997,armrus
ARM,1997,armtkm
ARM,1997,armukr
ARM,1998,armkgz
ARM,1998,armmda
ARM,1998,armrus
ARM,1998,armtkm
ARM,1998,armukr
ARM,1998,geoarm
ARM,1999,armkgz
ARM,1999,armmda
ARM,1999,armrus
ARM,1999,armtkm
ARM,1999,armukr
ARM,1999,geoarm
ARM,2000,armkgz
ARM,2000,armmda
ARM,2000,armrus
ARM,2000,armtkm
ARM,2000,armukr
ARM,2000,geoarm
ARM,2001,armkaz
ARM,2001,armkgz
ARM,2001,armmda
ARM,2001,armrus
ARM,2001,armtkm
ARM,2001,armukr
ARM,2001,geoarm
ARM,2002,armkaz
ARM,2002,armkgz
ARM,2002,armmda
ARM,2002,armrus
ARM,2002,armtkm
ARM,2002,armukr
ARM,2002,geoarm
ARM,2003,armkaz
ARM,2003,armkgz
ARM,2003,armmda
ARM,2003,armrus
ARM,2003,armtkm
ARM,2003,armukr
ARM,2003,geoarm
ARM,2004,armkaz
ARM,2004,armkgz
ARM,2004,armmda
ARM,2004,armrus
ARM,2004,armtkm
ARM,2004,armukr
ARM,2004,geoarm
ARM,2005,armkaz
ARM,2005,armkgz
ARM,2005,armmda
ARM,2005,armrus
ARM,2005,armtkm
ARM,2005,armukr
ARM,2005,geoarm
ARM,2006,armkaz
ARM,2006,armkgz
ARM,2006,armmda
ARM,2006,armrus
ARM,2006,armtkm
ARM,2006,armukr
ARM,2006,geoarm
ARM,2007,armkaz
ARM,2007,armkgz
ARM,2007,armmda
ARM,2007,armrus
ARM,2007,armtkm
ARM,2007,armukr
ARM,2007,geoarm
ARM,2008,armkaz
ARM,2008,armkgz
ARM,2008,armmda
ARM,2008,armrus
ARM,2008,armtkm
ARM,2008,armukr
ARM,2008,geoarm
ARM,2009,armkaz
ARM,2009,armkgz
ARM,2009,armmda
ARM,2009,armrus
ARM,2009,armtkm
ARM,2009,armukr
ARM,2009,geoarm
ARM,2010,armkaz
ARM,2010,armkgz
ARM,2010,armmda
ARM,2010,armrus
ARM,2010,armtkm
ARM,2010,armukr
ARM,2010,geoarm
ARM,2011,armkaz
ARM,2011,armkgz
ARM,2011,armmda
ARM,2011,armrus
ARM,2011,armtkm
ARM,2011,armukr
ARM,2011,geoarm
ARM,2012,armkaz
ARM,2012,armkgz
ARM,2012,armmda
ARM,2012,armrus
ARM,2012,armtkm
ARM,2012,armukr
ARM,2012,cis2
ARM,2012,geoarm
ARM,2013,armkaz
ARM,2013,armkgz
ARM,2013,armmda
ARM,2013,armrus
ARM,2013,armtkm
ARM,2013,armukr
ARM,2013,cis2
ARM,2013,geoarm
ARM,2014,armkaz
ARM,2014,armkgz
ARM,2014,armmda
ARM,2014,armrus
ARM,2014,armtkm
ARM,2014,armukr
ARM,2014,cis2
ARM,2014,geoarm
ARM,2015,armkaz
ARM,2015,armkgz
ARM,2015,armmda
ARM,2015,armrus
ARM,2015,armtkm
ARM,2015,armukr
ARM,2015,cis2
ARM,2015,geoarm
ARM,2015,eaeu
ARM,2016,armkaz
ARM,2016,armkgz
ARM,2016,armmda
ARM,2016,armrus
ARM,2016,armtkm
ARM,2016,armukr
ARM,2016,cis2
ARM,2016,geoarm
ARM,2016,eaeu
ARM,2016,eaeuvnm
ARM,2017,armkaz
ARM,2017,armkgz
ARM,2017,armmda
ARM,2017,armrus
ARM,2017,armtkm
ARM,2017,armukr
ARM,2017,cis2
ARM,2017,geoarm
ARM,2017,eaeu
ARM,2017,eaeuvnm
ARM,2018,armkaz
ARM,2018,armkgz
ARM,2018,armmda
ARM,2018,armrus
ARM,2018,armtkm
ARM,2018,armukr
ARM,2018,cis2
ARM,2018,geoarm
ARM,2018,eaeu
ARM,2018,eaeuvnm
ARM,2018,euarm
ARM,2019,armkaz
ARM,2019,armkgz
ARM,2019,armmda
ARM,2019,armrus
ARM,2019,armtkm
ARM,2019,armukr
ARM,2019,cis2
ARM,2019,geoarm
ARM,2019,eaeu
ARM,2019,eaeuvnm
ARM,2019,euarm
ARM,2019,eaeuirn
ARM,2020,armkaz
ARM,2020,armkgz
ARM,2020,armmda
ARM,2020,armrus
ARM,2020,armtkm
ARM,2020,armukr
ARM,2020,cis2
ARM,2020,geoarm
ARM,2020,eaeu
ARM,2020,eaeuvnm
ARM,2020,euarm
ARM,2020,eaeuirn
ARM,2021,armkaz
ARM,2021,armkgz
ARM,2021,armmda
ARM,2021,armrus
ARM,2021,armtkm
ARM,2021,armukr
ARM,2021,cis2
ARM,2021,geoarm
ARM,2021,eaeu
ARM,2021,eaeuvnm
ARM,2021,euarm
ARM,2021,eaeuirn
ARM,2021,eaeusrb
ARM,2022,armkaz
ARM,2022,armkgz
ARM,2022,armmda
ARM,2022,armrus
ARM,2022,armtkm
ARM,2022,armukr
ARM,2022,cis2
ARM,2022,geoarm
ARM,2022,eaeu
ARM,2022,eaeuvnm
ARM,2022,euarm
ARM,2022,eaeuirn
ARM,2022,eaeusrb
ARM,2023,armkaz
ARM,2023,armkgz
ARM,2023,armmda
ARM,2023,armrus
ARM,2023,armtkm
ARM,2023,armukr
ARM,2023,cis2
ARM,2023,geoarm
ARM,2023,eaeu
ARM,2023,eaeuvnm
ARM,2023,euarm
ARM,2023,eaeuirn
ARM,2023,eaeusrb
ATA,1961,euoct
ATA,1962,euoct
ATA,1963,euoct
ATA,1964,euoct
ATA,1965,euoct
ATA,1966,euoct
ATA,1967,euoct
ATA,1968,euoct
ATA,1969,euoct
ATA,1970,euoct
ATA,1971,euoct
ATA,1972,euoct
ATA,1973,euoct
ATA,1974,euoct
ATA,1975,euoct
ATA,1976,euoct
ATA,1977,euoct
ATA,1978,euoct
ATA,1979,euoct
ATA,1980,euoct
ATA,1981,euoct
ATA,1982,euoct
ATA,1983,euoct
ATA,1984,euoct
ATA,1985,euoct
ATA,1986,euoct
ATA,1987,euoct
ATA,1988,euoct
ATA,1989,euoct
ATA,1990,euoct
ATA,1991,euoct
ATA,1992,euoct
ATA,1993,euoct
ATA,1994,euoct
ATA,1995,euoct
ATA,1996,euoct
ATA,1997,euoct
ATA,1998,euoct
ATA,1999,euoct
ATA,2000,euoct
ATA,2001,euoct
ATA,2002,euoct
ATA,2003,euoct
ATA,2004,euoct
ATA,2005,euoct
ATA,2006,euoct
ATA,2007,euoct
ATA,2008,euoct
ATA,2009,euoct
ATA,2010,euoct
ATA,2011,euoct
ATA,2012,euoct
ATA,2013,euoct
ATA,2014,euoct
ATA,2015,euoct
ATA,2016,euoct
ATA,2017,euoct
ATA,2018,euoct
ATA,2019,euoct
ATA,2020,euoct
ATA,2021,euoct
ATA,2022,euoct
ATA,2023,euoct
ATF,1958,euoct
ATF,1959,euoct
ATF,1960,euoct
ATF,1961,euoct
ATF,1962,euoct
ATF,1963,euoct
ATF,1964,euoct
ATF,1965,euoct
ATF,1966,euoct
ATF,1967,euoct
ATF,1968,euoct
ATF,1969,euoct
ATF,1970,euoct
ATF,1971,euoct
ATF,1972,euoct
ATF,1973,euoct
ATF,1974,euoct
ATF,1975,euoct
ATF,1976,euoct
ATF,1977,euoct
ATF,1978,euoct
ATF,1979,euoct
ATF,1980,euoct
ATF,1981,euoct
ATF,1982,euoct
ATF,1983,euoct
ATF,1984,euoct
ATF,1985,euoct
ATF,1986,euoct
ATF,1987,euoct
ATF,1988,euoct
ATF,1989,euoct
ATF,1990,euoct
ATF,1991,euoct
ATF,1992,euoct
ATF,1993,euoct
ATF,1994,euoct
ATF,1995,euoct
ATF,1996,euoct
ATF,1997,euoct
ATF,1998,euoct
ATF,1999,euoct
ATF,2000,euoct
ATF,2001,euoct
ATF,2002,euoct
ATF,2003,euoct
ATF,2004,euoct
ATF,2005,euoct
ATF,2006,euoct
ATF,2007,euoct
ATF,2008,euoct
ATF,2009,euoct
ATF,2010,euoct
ATF,2011,euoct
ATF,2012,euoct
ATF,2013,euoct
ATF,2014,euoct
ATF,2015,euoct
ATF,2016,euoct
ATF,2017,euoct
ATF,2018,euoct
ATF,2019,euoct
ATF,2020,euoct
ATF,2021,euoct
ATF,2022,euoct
ATF,2023,euoct
ATG,1968,carifta
ATG,1969,carifta
ATG,1970,carifta
ATG,1971,carifta
ATG,1972,carifta
ATG,1973,carifta
ATG,1974,caricomg
ATG,1975,caricomg
ATG,1976,caricomg
ATG,1977,caricomg
ATG,1978,caricomg
ATG,1979,caricomg
ATG,1980,caricomg
ATG,1981,caricomg
ATG,1982,caricomg
ATG,1983,caricomg
ATG,1984,caricomg
ATG,1985,caricomg
ATG,1986,caricomg
ATG,1987,caricomg
ATG,1988,caricomg
ATG,1989,caricomg
ATG,1990,caricomg
ATG,1991,caricomg
ATG,1992,caricomg
ATG,1993,caricomg
ATG,1994,caricomg
ATG,1995,caricomg
ATG,1996,caricomg
ATG,1997,caricomg
ATG,1998,caricomg
ATG,1999,caricomg
ATG,2000,caricomg
ATG,2001,caricomg
ATG,2002,caricomcueia
ATG,2003,caricomcueia
ATG,2004,caricomcueia
ATG,2005,caricomcueia
ATG,2006,caricomcueia
ATG,2007,caricomcueia
ATG,2008,caricomcueia
ATG,2008,eucariforum
ATG,2009,caricomcueia
ATG,2009,eucariforum
ATG,2010,caricomcueia
ATG,2010,eucariforum
ATG,2011,caricomcueia
ATG,2011,eucariforum
ATG,2012,caricomcueia
ATG,2012,eucariforum
ATG,2013,caricomcueia
ATG,2013,eucariforum
ATG,2014,caricomcueia
ATG,2014,eucariforum
ATG,2015,caricomcueia
ATG,2015,eucariforum
ATG,2016,caricomcueia
ATG,2016,eucariforum
ATG,2017,caricomcueia
ATG,2017,eucariforum
ATG,2018,caricomcueia
ATG,2018,eucariforum
ATG,2019,caricomcueia
ATG,2019,eucariforum
ATG,2020,caricomcueia
ATG,2020,eucariforum
ATG,2021,caricomcueia
ATG,2021,eucariforum
ATG,2021,cariforumgbr
ATG,2022,caricomcueia
ATG,2022,eucariforum
ATG,2022,cariforumgbr
ATG,2023,caricomcueia
ATG,2023,eucariforum
ATG,2023,cariforumgbr
AUS,1966,ausnzl
AUS,1967,ausnzl
AUS,1968,ausnzl
AUS,1969,ausnzl
AUS,1970,ausnzl
AUS,1971,ausnzl
AUS,1972,ausnzl
AUS,1973,ausnzl
AUS,1974,ausnzl
AUS,1975,ausnzl
AUS,1976,ausnzl
AUS,1977,patcra
AUS,1977,ausnzl
AUS,1978,patcra
AUS,1978,ausnzl
AUS,1979,patcra
AUS,1979,ausnzl
AUS,1980,patcra
AUS,1980,ausnzl
AUS,1981,patcra
AUS,1981,sparteca
AUS,1981,ausnzl
AUS,1982,patcra
AUS,1982,sparteca
AUS,1982,ausnzl
AUS,1983,cerg
AUS,1983,patcra
AUS,1983,sparteca
AUS,1984,cerg
AUS,1984,patcra
AUS,1984,sparteca
AUS,1985,cerg
AUS,1985,patcra
AUS,1985,sparteca
AUS,1986,cerg
AUS,1986,patcra
AUS,1986,sparteca
AUS,1987,cerg
AUS,1987,patcra
AUS,1987,sparteca
AUS,1988,cerg
AUS,1988,patcra
AUS,1988,sparteca
AUS,1989,cers
AUS,1989,patcra
AUS,1989,sparteca
AUS,1990,cers
AUS,1990,patcra
AUS,1990,sparteca
AUS,1991,cers
AUS,1991,patcra
AUS,1991,sparteca
AUS,1992,cers
AUS,1992,patcra
AUS,1992,sparteca
AUS,1993,cers
AUS,1993,patcra
