ISO3,year
BEL,1974
BEL,1975
BEL,1976
BEL,1977
BEL,1978
BEL,1979
BEL,1980
BEL,1981
BEL,1982
BEL,1983
BEL,1984
BEL,1985
BEL,1986
BEL,1987
BEL,1988
BEL,1989
BEL,1990
BEL,1991
BEL,1992
BEL,1993
BEL,1994
BEL,1995
BEL,1996
BEL,1997
BEL,1998
BEL,1999
BEL,2000
BEL,2001
BEL,2002
BEL,2003
BEL,2004
BEL,2005
BEL,2006
BEL,2007
BEL,2008
BEL,2009
BEL,2010
BEL,2011
BEL,2012
BEL,2013
BEL,2014
BEL,2015
BEL,2016
BEL,2017
BEL,2018
BEL,2019
BEL,2020
BEL,2021
BEL,2022
BEL,2023
BEL,2024
BEN,1972
BEN,1973
BEN,1974
BEN,1975
BEN,1976
BEN,1977
BEN,1978
BEN,1979
BEN,1980
BEN,1981
BEN,1982
BEN,1983
BEN,1984
BEN,1985
BEN,1986
BEN,1987
BEN,1988
BEN,1989
BEN,1990
BEN,1991
BEN,1992
BEN,1993
BEN,1994
BEN,1995
BEN,1996
BEN,1997
BEN,1998
BEN,1999
BEN,2000
BEN,2001
BEN,2002
BEN,2003
BEN,2004
BEN,2005
BEN,2006
BEN,2007
BEN,2008
BEN,2009
BEN,2010
BEN,2011
BEN,2012
BEN,2013
BEN,2014
BEN,2015
BEN,2016
BEN,2017
BEN,2018
BEN,2019
BEN,2020
BEN,2021
BEN,2022
BEN,2023
BEN,2024
BFA,1960
BFA,1961
BFA,1962
BFA,1963
BFA,1964
BFA,1965
BFA,1966
BFA,1967
BFA,1968
BFA,1969
BFA,1970
BFA,1971
BFA,1972
BFA,1973
BFA,1974
BFA,1975
BFA,1976
BFA,1977
BFA,1978
BFA,1979
BFA,1980
BFA,1981
BFA,1982
BFA,1983
BFA,1984
BFA,1985
BFA,1986
BFA,1987
BFA,1988
BFA,1989
BFA,1990
BFA,1991
BFA,1992
BFA,1993
BFA,1994
BFA,1995
BFA,1996
BFA,1997
BFA,1998
BFA,1999
BFA,2000
BFA,2001
BFA,2002
BFA,2003
BFA,2004
BFA,2005
BFA,2006
BFA,2007
BFA,2008
BFA,2009
BFA,2010
BFA,2011
BFA,2012
BFA,2013
BFA,2014
BFA,2015
BFA,2016
BFA,2017
BFA,2018
BFA,2019
BFA,2020
BFA,2021
BFA,2022
BFA,2023
BFA,2024
BGD,1961
BGD,1962
BGD,1963
BGD,1964
BGD,1965
BGD,1966
BGD,1967
BGD,1968
BGD,1969
BGD,1970
BGD,1971
BGD,1972
BGD,1973
BGD,1974
BGD,1975
BGD,1976
BGD,1977
BGD,1978
BGD,1979
BGD,1980
BGD,1981
BGD,1982
BGD,1983
BGD,1984
BGD,1985
BGD,1986
BGD,1987
BGD,1988
BGD,1989
BGD,1990
BGD,1991
BGD,1992
BGD,1993
BGD,1994
BGD,1995
BGD,1996
BGD,1997
BGD,1998
BGD,1999
BGD,2000
BGD,2001
BGD,2002
BGD,2003
BGD,2004
BGD,2005
BGD,2006
BGD,2007
BGD,2008
BGD,2009
BGD,2010
BGD,2011
BGD,2012
BGD,2013
BGD,2014
BGD,2015
BGD,2016
BGD,2017
BGD,2018
BGD,2019
BGD,2020
BGD,2021
BGD,2022
BGD,2023
BGD,2024
BGR,1972
BGR,1973
BGR,1974
BGR,1975
BGR,1976
BGR,1977
BGR,1978
BGR,1979
BGR,1980
BGR,1981
BGR,1982
BGR,1983
BGR,1984
BGR,1985
BGR,1986
BGR,1987
BGR,1988
BGR,1989
BGR,1990
BGR,1991
BGR,1992
BGR,1993
BGR,1994
BGR,1995
BGR,1996
BGR,1997
BGR,1998
BGR,1999
BGR,2000
BGR,2001
BGR,2002
BGR,2003
BGR,2004
BGR,2005
BGR,2006
BGR,2007
BGR,2008
BGR,2009
BGR,2010
BGR,2011
BGR,2012
BGR,2013
BGR,2014
BGR,2015
BGR,2016
BGR,2017
BGR,2018
BGR,2019
BGR,2020
BGR,2021
BGR,2022
BGR,2023
BGR,2024
BIH,1996
BIH,1997
BIH,1998
BIH,1999
BIH,2000
BIH,2001
BIH,2002
BIH,2003
BIH,2004
BIH,2005
BIH,2006
BIH,2007
BIH,2008
BIH,2009
BIH,2010
BIH,2011
BIH,2012
BIH,2013
BIH,2014
BIH,2015
BIH,2016
BIH,2017
BIH,2018
BIH,2019
BIH,2020
BIH,2021
BIH,2022
BIH,2023
BIH,2024
BLR,1992
BLR,1993
BLR,1994
BLR,1995
BLR,1996
BLR,1997
BLR,1998
BLR,1999
BLR,2000
BLR,2001
BLR,2002
BLR,2003
BLR,2004
BLR,2005
BLR,2006
BLR,2007
BLR,2008
BLR,2009
BLR,2010
BLR,2011
BLR,2012
BLR,2013
BLR,2014
BLR,2015
BLR,2016
BLR,2017
BLR,2018
BLR,2019
BLR,2020
BLR,2021
BLR,2022
BLR,2023
BLR,2024
BOL,1960
BOL,1961
BOL,1962
BOL,1963
BOL,1964
BOL,1965
BOL,1966
BOL,1967
BOL,1968
BOL,1969
BOL,1970
BOL,1971
BOL,1972
BOL,1973
BOL,1974
BOL,1975
BOL,1976
BOL,1977
BOL,1978
BOL,1979
BOL,1980
BOL,1981
BOL,1982
BOL,1983
BOL,1984
BOL,1985
BOL,1986
BOL,1987
BOL,1988
BOL,1989
BOL,1990
BOL,1991
BOL,1992
BOL,1993
BOL,1994
BOL,1995
BOL,1996
BOL,1997
BOL,1998
BOL,1999
BOL,2000
BOL,2001
BOL,2002
BOL,2003
BOL,2004
BOL,2005
BOL,2006
BOL,2007
BOL,2008
BOL,2009
BOL,2010
BOL,2011
BOL,2012
BOL,2013
BOL,2014
BOL,2015
BOL,2016
BOL,2017
BOL,2018
BOL,2019
BOL,2020
BOL,2021
BOL,2022
BOL,2023
BOL,2024
BRA,1960
BRA,1961
BRA,1962
BRA,1963
BRA,1964
BRA,1965
BRA,1966
BRA,1967
BRA,1968
BRA,1969
BRA,1970
BRA,1971
BRA,1972
BRA,1973
BRA,1974
BRA,1975
BRA,1976
BRA,1977
BRA,1978
BRA,1979
BRA,1980
BRA,1981
BRA,1982
BRA,1983
BRA,1984
BRA,1985
BRA,1986
BRA,1987
BRA,1988
BRA,1989
BRA,1990
BRA,1991
BRA,1992
BRA,1993
BRA,1994
BRA,1995
BRA,1996
BRA,1997
BRA,1998
BRA,1999
BRA,2000
BRA,2001
BRA,2002
BRA,2003
BRA,2004
BRA,2005
BRA,2006
BRA,2007
BRA,2008
BRA,2009
BRA,2010
BRA,2011
BRA,2012
BRA,2013
BRA,2014
BRA,2015
BRA,2016
BRA,2017
BRA,2018
BRA,2019
BRA,2020
BRA,2021
BRA,2022
BRA,2023
BRA,2024
BWA,2010
BWA,2011
BWA,2012
BWA,2013
BWA,2014
BWA,2015
BWA,2016
BWA,2017
BWA,2018
BWA,2019
BWA,2020
BWA,2021
BWA,2022
BWA,2023
BWA,2024
CAF,1968
CAF,1969
CAF,1970
CAF,1971
CAF,1972
CAF,1973
CAF,1974
CAF,1975
CAF,1976
CAF,1977
CAF,1978
CAF,1979
CAF,1980
CAF,1981
CAF,1982
CAF,1983
CAF,1984
CAF,1985
CAF,1986
CAF,1987
CAF,1988
CAF,1989
CAF,1990
CAF,1991
CAF,1992
CAF,1993
CAF,1994
CAF,1995
CAF,1996
CAF,1997
CAF,1998
CAF,1999
CAF,2000
CAF,2001
CAF,2002
CAF,2003
CAF,2004
CAF,2005
CAF,2006
CAF,2007
CAF,2008
CAF,2009
CAF,2010
CAF,2011
CAF,2012
CAF,2013
CAF,2014
CAF,2015
CAF,2016
CAF,2017
CAF,2018
CAF,2019
CAF,2020
CAF,2021
CAF,2022
CAF,2023
CAF,2024
CAN,1960
CAN,1961
CAN,1962
CAN,1963
CAN,1964
CAN,1965
CAN,1966
CAN,1967
CAN,1968
CAN,1969
CAN,1970
CAN,1971
CAN,1972
CAN,1973
CAN,1974
CAN,1975
CAN,1976
CAN,1977
CAN,1978
CAN,1979
CAN,1980
CAN,1981
CAN,1982
CAN,1983
CAN,1984
CAN,1985
CAN,1986
CAN,1987
CAN,1988
CAN,1989
CAN,1990
CAN,1991
CAN,1992
CAN,1993
CAN,1994
CAN,1995
CAN,1996
CAN,1997
CAN,1998
CAN,1999
CAN,2000
CAN,2001
CAN,2002
CAN,2003
CAN,2004
CAN,2005
CAN,2006
CAN,2007
CAN,2008
CAN,2009
CAN,2010
CAN,2011
CAN,2012
CAN,2013
CAN,2014
CAN,2015
CAN,2016
CAN,2017
CAN,2018
CAN,2019
CAN,2020
CAN,2021
CAN,2022
CAN,2023
CAN,2024
CHE,1960
CHE,1961
CHE,1962
CHE,1963
CHE,1964
CHE,1965
CHE,1966
CHE,1967
CHE,1968
CHE,1969
CHE,1970
CHE,1971
CHE,1972
CHE,1973
CHE,1974
CHE,1975
CHE,1976
CHE,1977
CHE,1978
CHE,1979
CHE,1980
CHE,1981
CHE,1982
CHE,1983
CHE,1984
CHE,1985
CHE,1986
CHE,1987
CHE,1988
CHE,1989
CHE,1990
CHE,1991
CHE,1992
CHE,1993
CHE,1994
CHE,1995
CHE,1996
CHE,1997
CHE,1998
CHE,1999
CHE,2000
CHE,2001
CHE,2002
CHE,2003
CHE,2004
CHE,2005
CHE,2006
CHE,2007
CHE,2008
CHE,2009
CHE,2010
CHE,2011
CHE,2012
CHE,2013
CHE,2014
CHE,2015
CHE,2016
CHE,2017
CHE,2018
CHE,2019
CHE,2020
CHE,2021
CHE,2022
CHE,2023
CHE,2024
CHL,1960
CHL,1961
CHL,1962
CHL,1963
CHL,1964
CHL,1965
CHL,1966
CHL,1967
CHL,1968
CHL,1969
CHL,1970
CHL,1971
CHL,1972
CHL,1973
CHL,1974
CHL,1975
CHL,1976
CHL,1977
CHL,1978
CHL,1979
CHL,1980
CHL,1981
CHL,1982
CHL,1983
CHL,1984
CHL,1985
CHL,1986
CHL,1987
CHL,1988
CHL,1989
CHL,1990
CHL,1991
CHL,1992
CHL,1993
CHL,1994
CHL,1995
CHL,1996
CHL,1997
CHL,1998
CHL,1999
CHL,2000
CHL,2001
CHL,2002
CHL,2003
CHL,2004
CHL,2005
CHL,2006
CHL,2007
CHL,2008
CHL,2009
CHL,2010
CHL,2011
CHL,2012
CHL,2013
CHL,2014
CHL,2015
CHL,2016
CHL,2017
CHL,2018
CHL,2019
CHL,2020
CHL,2021
CHL,2022
CHL,2023
CHL,2024
CHN,1972
CHN,1973
CHN,1974
CHN,1975
CHN,1976
CHN,1977
CHN,1978
CHN,1979
CHN,1980
CHN,1981
CHN,1982
CHN,1983
CHN,1984
CHN,1985
CHN,1986
CHN,1987
CHN,1988
CHN,1989
CHN,1990
CHN,1991
CHN,1992
CHN,1993
CHN,1994
CHN,1995
CHN,1996
CHN,1997
CHN,1998
CHN,1999
CHN,2000
CHN,2001
CHN,2002
CHN,2003
CHN,2004
CHN,2005
CHN,2006
CHN,2007
CHN,2008
CHN,2009
CHN,2010
CHN,2011
CHN,2012
CHN,2013
CHN,2014
CHN,2015
CHN,2016
CHN,2017
CHN,2018
CHN,2019
CHN,2020
CHN,2021
CHN,2022
CHN,2023
CHN,2024
CIV,1961
CIV,1962
CIV,1963
CIV,1964
CIV,1965
CIV,1966
CIV,1967
CIV,1968
CIV,1969
CIV,1970
CIV,1971
CIV,1972
CIV,1973
CIV,1974
CIV,1975
CIV,1976
CIV,1977
CIV,1978
CIV,1979
CIV,1980
CIV,1981
CIV,1982
CIV,1983
CIV,1984
CIV,1985
CIV,1986
CIV,1987
CIV,1988
CIV,1989
CIV,1990
CIV,1991
CIV,1992
CIV,1993
CIV,1994
CIV,1995
CIV,1996
CIV,1997
CIV,1998
CIV,1999
CIV,2000
CIV,2001
CIV,2002
CIV,2003
CIV,2004
CIV,2005
CIV,2006
CIV,2007
CIV,2008
CIV,2009
CIV,2010
CIV,2011
CIV,2012
CIV,2013
CIV,2014
CIV,2015
CIV,2016
CIV,2017
CIV,2018
CIV,2019
CIV,2020
CIV,2021
CIV,2022
CIV,2023
CIV,2024
CMR,1961
CMR,1962
CMR,1963
CMR,1964
CMR,1965
CMR,1966
CMR,1967
CMR,1968
CMR,1969
CMR,1970
CMR,1971
CMR,1972
CMR,1973
CMR,1974
CMR,1975
CMR,1976
CMR,1977
CMR,1978
CMR,1979
CMR,1980
CMR,1981
CMR,1982
CMR,1983
CMR,1984
CMR,1985
CMR,1986
CMR,1987
CMR,1988
CMR,1989
CMR,1990
CMR,1991
CMR,1992
CMR,1993
CMR,1994
CMR,1995
CMR,1996
CMR,1997
CMR,1998
CMR,1999
CMR,2000
CMR,2001
CMR,2002
CMR,2003
CMR,2004
CMR,2005
CMR,2006
CMR,2007
CMR,2008
CMR,2009
CMR,2010
CMR,2011
CMR,2012
CMR,2013
CMR,2014
CMR,2015
CMR,2016
CMR,2017
CMR,2018
CMR,2019
CMR,2020
CMR,2021
CMR,2022
CMR,2023
CMR,2024
COD,1960
COD,1963
COD,1964
COD,1965
COD,1966
COD,1967
COD,1968
COD,1969
COD,1970
COD,1971
COD,1972
COD,1973
COD,1974
COD,1975
COD,1976
COD,1977
COD,1978
COD,1979
COD,1980
COD,1981
COD,1982
COD,1983
COD,1984
COD,1985
COD,1986
COD,1987
COD,1988
COD,1989
COD,1990
COD,1991
COD,1992
COD,1993
COD,1994
COD,1995
COD,1996
COD,1997
COD,1998
COD,1999
COD,2000
COD,2001
COD,2002
COD,2003
COD,2004
COD,2005
COD,2006
COD,2007
COD,2008
COD,2009
COD,2010
COD,2011
COD,2012
COD,2013
COD,2014
COD,2015
COD,2016
COD,2017
COD,2018
COD,2019
COD,2020
COD,2021
COD,2022
COD,2023
COD,2024
COG,1985
COG,1986
COG,1987
COG,1988
COG,1989
COG,1990
COG,1991
COG,1992
COG,1993
COG,1994
COG,1995
COG,1996
COG,1997
COG,1998
COG,1999
COG,2000
COG,2001
COG,2002
COG,2003
COG,2004
COG,2005
COG,2006
COG,2007
COG,2008
COG,2009
COG,2010
COG,2011
COG,2012
COG,2013
COG,2014
COG,2015
COG,2016
COG,2017
COG,2018
COG,2019
COG,2020
COG,2021
COG,2022
COG,2023
COG,2024
COL,1960
COL,1961
COL,1962
COL,1963
COL,1964
COL,1965
COL,1966
COL,1967
COL,1968
COL,1969
COL,1970
COL,1971
COL,1972
COL,1973
COL,1974
COL,1975
COL,1976
COL,1977
COL,1978
COL,1979
COL,1980
COL,1981
COL,1982
COL,1983
COL,1984
COL,1985
COL,1986
COL,1987
COL,1988
COL,1989
COL,1990
COL,1991
COL,1992
COL,1993
COL,1994
COL,1995
COL,1996
COL,1997
COL,1998
COL,1999
COL,2000
COL,2001
COL,2002
COL,2003
COL,2004
COL,2005
COL,2006
COL,2007
COL,2008
COL,2009
COL,2010
COL,2011
COL,2012
COL,2013
COL,2014
COL,2015
COL,2016
COL,2017
COL,2018
COL,2019
COL,2020
COL,2021
COL,2022
COL,2023
COL,2024
CRI,1974
CRI,1975
CRI,1976
CRI,1977
CRI,1978
CRI,1979
CRI,1980
CRI,1981
CRI,1982
CRI,1983
CRI,1984
CRI,1985
CRI,1986
CRI,1987
CRI,1988
CRI,1989
CRI,1990
CRI,1991
CRI,1992
CRI,1993
CRI,1994
CRI,1995
CRI,1996
CRI,1997
CRI,1998
CRI,1999
CRI,2000
CRI,2001
CRI,2002
CRI,2003
CRI,2004
CRI,2005
CRI,2006
CRI,2007
CRI,2008
CRI,2009
CRI,2010
CRI,2011
CRI,2012
CRI,2013
CRI,2014
CRI,2015
CRI,2016
CRI,2017
CRI,2018
CRI,2019
CRI,2020
CRI,2021
CRI,2022
CRI,2023
CRI,2024
CZE,1992
CZE,1993
CZE,1994
CZE,1995
CZE,1996
CZE,1997
CZE,1998
CZE,1999
CZE,2000
CZE,2001
CZE,2002
CZE,2003
CZE,2004
CZE,2005
CZE,2006
CZE,2007
CZE,2008
CZE,2009
CZE,2010
CZE,2011
CZE,2012
CZE,2013
CZE,2014
CZE,2015
CZE,2016
CZE,2017
CZE,2018
CZE,2019
CZE,2020
CZE,2021
CZE,2022
CZE,2023
CZE,2024
DEU,1960
DEU,1961
DEU,1962
DEU,1963
DEU,1964
DEU,1965
DEU,1966
DEU,1967
DEU,1968
DEU,1969
DEU,1970
DEU,1971
DEU,1972
DEU,1973
DEU,1974
DEU,1975
DEU,1976
DEU,1977
DEU,1978
DEU,1979
DEU,1980
DEU,1981
DEU,1982
DEU,1983
DEU,1984
DEU,1985
DEU,1986
DEU,1987
DEU,1988
DEU,1989
DEU,1990
DEU,1991
DEU,1992
DEU,1993
DEU,1994
DEU,1995
DEU,1996
DEU,1997
DEU,1998
DEU,1999
DEU,2000
DEU,2001
DEU,2002
DEU,2003
DEU,2004
DEU,2005
DEU,2006
DEU,2007
DEU,2008
DEU,2009
DEU,2010
DEU,2011
DEU,2012
DEU,2013
DEU,2014
DEU,2015
DEU,2016
DEU,2017
DEU,2018
DEU,2019
DEU,2020
DEU,2021
DEU,2022
DEU,2023
DEU,2024
DNK,1960
DNK,1961
DNK,1962
DNK,1963
DNK,1964
DNK,1965
DNK,1966
DNK,1967
DNK,1968
DNK,1969
DNK,1970
DNK,1971
DNK,1972
DNK,1973
DNK,1974
DNK,1975
DNK,1976
DNK,1977
DNK,1978
DNK,1979
DNK,1980
DNK,1981
DNK,1982
DNK,1983
DNK,1984
DNK,1985
DNK,1986
DNK,1987
DNK,1988
DNK,1989
DNK,1990
DNK,1991
DNK,1992
DNK,1993
DNK,1994
DNK,1995
DNK,1996
DNK,1997
DNK,1998
DNK,1999
DNK,2000
DNK,2001
DNK,2002
DNK,2003
DNK,2004
DNK,2005
DNK,2006
DNK,2007
DNK,2008
DNK,2009
DNK,2010
DNK,2011
DNK,2012
DNK,2013
DNK,2014
DNK,2015
DNK,2016
DNK,2017
DNK,2018
DNK,2019
DNK,2020
DNK,2021
DNK,2022
DNK,2023
DNK,2024
DOM,1960
DOM,1961
DOM,1962
DOM,1963
DOM,1964
DOM,1965
DOM,1966
DOM,1967
DOM,1968
DOM,1969
DOM,1970
DOM,1971
DOM,1972
DOM,1973
DOM,1974
DOM,1975
DOM,1976
DOM,1977
DOM,1978
DOM,1979
DOM,1980
DOM,1981
DOM,1982
DOM,1983
DOM,1984
DOM,1985
DOM,1986
DOM,1987
DOM,1988
DOM,1989
DOM,1990
DOM,1991
DOM,1992
DOM,1993
DOM,1994
DOM,1995
DOM,1996
DOM,1997
DOM,1998
DOM,1999
DOM,2000
DOM,2001
DOM,2002
DOM,2003
DOM,2004
DOM,2005
DOM,2006
DOM,2007
DOM,2008
DOM,2009
DOM,2010
DOM,2011
DOM,2012
DOM,2013
DOM,2014
DOM,2015
DOM,2016
DOM,2017
DOM,2018
DOM,2019
DOM,2020
DOM,2021
DOM,2022
DOM,2023
DOM,2024
DZA,1961
DZA,1962
DZA,1963
DZA,1964
DZA,1965
DZA,1966
DZA,1967
DZA,1968
DZA,1969
DZA,1970
DZA,1971
DZA,1972
DZA,1973
DZA,1974
DZA,1975
DZA,1976
DZA,1977
DZA,1978
DZA,1979
DZA,1980
DZA,1981
DZA,1982
DZA,1983
DZA,1984
DZA,1985
DZA,1986
DZA,1987
DZA,1988
DZA,1989
DZA,1990
DZA,1991
DZA,1992
DZA,1993
DZA,1994
DZA,1995
DZA,1996
DZA,1997
DZA,1998
DZA,1999
DZA,2000
DZA,2001
DZA,2002
DZA,2003
DZA,2004
DZA,2005
DZA,2006
DZA,2007
DZA,2008
DZA,2009
DZA,2010
DZA,2011
DZA,2012
DZA,2013
DZA,2014
DZA,2015
DZA,2016
DZA,2017
DZA,2018
DZA,2019
DZA,2020
DZA,2021
DZA,2022
DZA,2023
DZA,2024
ECU,1960
ECU,1961
ECU,1962
ECU,1963
ECU,1964
ECU,1965
ECU,1966
ECU,1967
ECU,1968
ECU,1969
ECU,1970
ECU,1971
ECU,1972
ECU,1973
ECU,1974
ECU,1975
ECU,1976
ECU,1977
ECU,1978
ECU,1979
ECU,1980
ECU,1981
ECU,1982
ECU,1983
ECU,1984
ECU,1985
ECU,1986
ECU,1987
ECU,1988
ECU,1989
ECU,1990
ECU,1991
ECU,1992
ECU,1993
ECU,1994
ECU,1995
ECU,1996
ECU,1997
ECU,1998
ECU,1999
ECU,2000
ECU,2001
ECU,2002
ECU,2003
ECU,2004
ECU,2005
ECU,2006
ECU,2007
ECU,2008
ECU,2009
ECU,2010
ECU,2011
ECU,2012
ECU,2013
ECU,2014
ECU,2015
ECU,2016
ECU,2017
ECU,2018
ECU,2019
ECU,2020
ECU,2021
ECU,2022
ECU,2023
ECU,2024
EGY,1960
EGY,1961
EGY,1962
EGY,1963
EGY,1964
