id,country,start,project,technology,fv,fa,ps,h_loss,h_demand,h_comp,h_cond,h_mgr,basis,ext,press,outcome,outcome_year,conf,evidence,sources
P15,EGY,1818,穆罕默德·阿里官营纺织厂,棉纺织,1,0,1,0,0,0,0,0,none,0,1,1,1838,low,国家专营，产品供军队，1838年通商条约前进口受限；以畜力驱动为主，维修与原料问题频发，1840年代后衰落,Owen 1969; Batou 1991 等
P16,KOR,1968,浦项制铁,钢铁（转炉）,0,0,0,0,0,1,1,1,functional,1,1,3,1988,high,以对日请求权资金兴建，朴泰俊按成本与工期考核，以进口价格为基准并出口；1980年代光阳厂以国内工程力量为主设计,Amsden 1989
P17,KOR,1967,现代汽车,汽车制造,1,0,1,1,0,1,1,1,functional,1,1,2,1987,high,国内市场受保护，但与起亚、大宇竞争，汽车工业长期计划要求国产车型并以出口为目标；1975年推出Pony，1986年Excel进入美国市场,"Amsden 1989; Kim Linsu 1997, Imitation to Innovation"
P18,KOR,1976,昌原重型机械（现代洋行→韩国重工业）,发电设备制造,1,1,0,0,0,0,0,1,administrative,0,1,2,1996,low,重化工业计划下以政策贷款兴建，1980年因产能过剩被国有化重组；以许可证方式国产锅炉与汽轮机,Stern et al. 1995; Woo 1991
P19,KOR,1972,现代重工造船,船舶制造,1,0,1,1,1,1,1,1,functional,1,1,3,1992,high,以出口订单起步，合同有交船期与罚则，与日本船厂国际竞争；1980年代形成自主设计能力,Amsden 1989
P20,IND,1959,印度斯坦钢铁（比莱）,钢铁（平炉）,1,0,0,0,0,0,0,0,none,0,0,1,1979,medium,国营，价格与分配由联合工厂委员会管制；产能利用率长期偏低，扩建仍依赖苏联设计,Etienne 1982 等印度钢铁业研究（待核）
P21,IND,1957,印度斯坦汽车（大使牌）,汽车制造,1,0,1,1,0,0,0,0,none,0,0,1,1977,high,许可证制度下产能与进入受限，需求长期排队；车型基本沿用莫里斯牛津三代设计数十年,印度汽车工业史研究
P22,IND,1982,马鲁蒂（与铃木合资）,汽车制造,1,0,1,0,0,0,1,1,functional,1,0,2,2002,medium,政府控股74%，铃木负责管理，分阶段国产化目标；零部件国产化率高，车型设计依赖铃木,Maruti Suzuki 相关研究（待核）
P23,IND,1953,印度斯坦机床（HMT）,机床制造,1,0,0,0,0,0,0,0,none,0,0,2,1973,low,国营，与瑞士厄利空合作起步，国内市场受保护；1960年代产品线扩展并建多座分厂,印度机床工业研究（待核）
P24,BRA,1969,巴西航空工业（Embraer）,飞机设计与制造,0,0,0,0,0,1,0,0,functional,1,0,3,1989,high,国营，初期由空军订货；产品须取得适航认证并进入美国支线市场；1983年EMB-120首飞，1985年认证并大量出口美国,Embraer EMB 110 / EMB 120 (Wikipedia)
P25,BRA,1984,信息产业市场保留（Cobra等）,微型计算机制造,1,0,0,0,0,1,0,0,administrative,0,0,1,1991,medium,1984年第7232号法律保留国内市场，进口受禁；多家本国企业竞争但以仿制为主，1991年评估显示全面落后,"Law 7,232/1984 相关研究; escholarship IT Policy in Brazil"
P26,BRA,1941,国家钢铁公司（沃尔塔雷东达）,钢铁（平炉）,1,0,0,0,0,0,0,0,none,0,1,2,1961,low,国营，美国进出口银行贷款建设；培养的工程师后来支撑乌西米纳斯等新钢厂,"Baer 1969, The Development of the Brazilian Steel Industry（待核）"
P27,TWN,1987,台积电,晶圆代工,0,0,0,0,1,1,1,1,functional,1,1,3,2007,high,专业代工，订单来自外国客户并以良率与交期考核；2000年代成为先进制程主要供应者,TSMC 公司史
P28,TWN,1971,中国钢铁,钢铁（转炉）,0,0,0,0,0,1,1,1,functional,0,1,2,1991,medium,国营但以利润目标与绩效奖金管理，以进口价格为参照；运营效率高，扩建依赖外国工程公司,Amsden 1989 等（待核）
P29,CHN,1953,第一汽车制造厂,卡车制造,1,0,1,0,0,0,0,0,none,0,1,2,1973,medium,计划体制，苏联援建并以吉斯150为原型；解放牌长期不改型，但自行开发越野车与轿车并支援二汽建设,一汽厂史
P30,IND,1956,印度斯坦航空HF-24,战斗机设计与制造,0,0,0,0,0,0,0,0,none,0,1,2,1976,low,国营，由德国工程师主持设计；机体完成但发动机研发失败，性能不达设计要求,HAL HF-24 Marut 相关研究（待核）
